"Year" "Species_ID" "presence_01" "Species_name" "Maxheight_cm" "Family" "IUCN_CH" "N_value" "C" "R" "T_value" "K_value" "L_value" "F_value" "R_value" "H_Rivers_and_Lakes" "H_Shorelines" "H_Bogs_and_mires" "H_Rocks_and_debris" "H_Dry_meadows" "H_Rich_meadows" "H_Alpine_pastures" "H_Herbaceous_fringe" "H_Shrubs_hedges" "H_Forests" "H_Ruderal_areas" "H_Cropfields" "IUCNorder" "Fn" "Tn" "Kn" "Rn" "Nn" "Ln" "Rnum" "Cnum" "yeardif" "yeardifnew" "xy_coded"
"1" 1995 "10100" 1 "Ajuga chamaepitys (L.) Schreb." 20 "Lamiaceae" "NT" "2" "0" "RR" "4.5" "4" "4" "2" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "6_NT" 2 4.5 4 5 2 4 2 0 17 15 1
"2" 1995 "160100" 1 "Euphorbia falcata L." 20 "Euphorbiaceae" "EN" "4" "0" "RRR" "5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 5 3 4 4 4 3 0 17 15 1
"3" 1995 "160100" 1 "Euphorbia falcata L." 20 "Euphorbiaceae" "EN" "4" "0" "RRR" "5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 5 3 4 4 4 3 0 17 15 2
"4" 2001 "214500" 1 "Inula helvetica Weber" 150 "Asteraceae" "VU" "2" "C" "0" "4.5" "2" "3" "4" "4" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 4 4.5 2 4 2 3 0 1 11 9 2
"5" 1997 "158800" 1 "Erythronium dens-canis L." 20 "Liliaceae" "VU" "3" "C" "0" "5" "2" "2" "3" "4" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "5_VU" 3 5 2 4 3 2 0 1 15 13 3
"6" 1997 "193600" 1 "Gypsophila muralis L." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "4" "4" "4" "3.5" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 3.5 4 4 2 3 4 2 0 15 13 3
"7" 2001 "216400" 1 "Isopyrum thalictroides L." 30 "Ranunculaceae" "EN" "3" "C" "0" "4.5" "4" "2" "3.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "4_EN" 3.5 4.5 4 4 3 2 0 1 11 9 3
"8" 2001 "228000" 1 "Laserpitium prutenicum L." 100 "Apiaceae" "EN" "2" "CC" "0" "4" "4" "3" "3.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 3.5 4 4 4 2 3 0 2 11 9 3
"9" 2001 "381200" 1 "Scorzonera humilis L." 50 "Asteraceae" "NT" "2" "CC" "0" "3.5" "4" "3" "3.5" "4" "0" "0" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "6_NT" 3.5 3.5 4 4 2 3 0 2 11 9 3
"10" 1998 "385100" 1 "Sedum rubens L." 15 "Crassulaceae" "VU" "3" "C" "0" "4.5" "2" "4" "1" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1 4.5 2 2 3 4 0 1 14 12 3
